qr,product_id,filed,truth,est_x,est_y,est_z,true_x,true_y,true_z,dx_m,dy_m,dz_m,offset_m
WH1|F|03|3|SKU70894,SKU70894,F-03-L3,F-03-L3,1.9,2.19,4.15,1.916,2.2,4.15,-0.016,-0.01,0.0,0.019
WH1|E|04|1|SKU89939,SKU89939,E-04-L1,E-04-L1,-0.5,-1.34,0.75,-0.516,-1.35,0.75,0.016,0.01,0.0,0.019
WH1|G|03|2|SKU44860,SKU44860,G-03-L2,G-03-L2,4.1,1.24,2.45,4.084,1.25,2.45,0.016,-0.01,0.0,0.019
WH1|G|04|2|SKU43785,SKU43785,G-04-L2,G-04-L2,4.1,-0.56,2.45,4.084,-0.55,2.45,0.016,-0.01,0.0,0.019
WH1|B|01|3|SKU47508,SKU47508,B-01-L3,B-01-L3,-7.3,7.56,4.15,-7.284,7.55,4.15,-0.016,0.01,0.0,0.019
WH1|C|06|1|SKU87248,SKU87248,C-06-L1,C-06-L1,-5.1,-7.56,0.75,-5.116,-7.55,0.75,0.016,-0.01,0.0,0.019
WH1|C|02|1|SKU29746,SKU29746,C-02-L1,C-02-L1,-5.1,4.06,0.75,-5.116,4.05,0.75,0.016,0.01,0.0,0.019
WH1|C|01|1|SKU65058,SKU65058,C-01-L1,C-01-L1,-5.1,5.91,0.75,-5.116,5.9,0.75,0.016,0.01,0.0,0.019
WH1|C|01|1|SKU91996,SKU91996,C-01-L1,C-01-L1,-5.1,6.66,0.75,-5.116,6.65,0.75,0.016,0.01,0.0,0.019
WH1|D|01|3|SKU36553,SKU36553,D-01-L3,D-01-L3,-2.7,7.44,4.15,-2.684,7.45,4.15,-0.016,-0.01,0.0,0.019
WH1|E|04|1|SKU69638,SKU69638,E-04-L1,E-04-L1,-0.5,-2.14,0.75,-0.516,-2.15,0.75,0.016,0.01,0.0,0.019
WH1|F|06|2|SKU63369,SKU63369,F-06-L2,F-06-L2,1.9,-6.74,2.45,1.916,-6.75,2.45,-0.016,0.01,0.0,0.019
WH1|G|06|1|SKU94237,SKU94237,G-06-L1,G-06-L1,4.1,-7.56,0.75,4.084,-7.55,0.75,0.016,-0.01,0.0,0.019
WH1|G|02|1|SKU92692,SKU92692,G-02-L1,G-02-L1,4.1,4.84,0.75,4.084,4.85,0.75,0.016,-0.01,0.0,0.019
WH1|G|01|1|SKU39674,SKU39674,G-01-L1,G-01-L1,4.1,5.94,0.75,4.084,5.95,0.75,0.016,-0.01,0.0,0.019
WH1|G|06|3|SKU38908,SKU38908,G-06-L3,G-06-L3,4.1,-7.49,4.15,4.084,-7.5,4.15,0.016,0.01,0.0,0.019
WH1|C|02|1|SKU96727,SKU96727,C-02-L1,C-02-L1,-5.1,3.25,0.75,-5.116,3.25,0.75,0.016,0.0,0.0,0.016
WH1|E|02|1|SKU15044,SKU15044,E-02-L1,E-02-L1,-0.5,4.05,0.75,-0.516,4.05,0.75,0.016,0.0,0.0,0.016
WH1|E|01|1|SKU18816,SKU18816,E-01-L1,E-01-L1,-0.5,7.55,0.75,-0.516,7.55,0.75,0.016,0.0,0.0,0.016
WH1|E|06|3|SKU31895,SKU31895,E-06-L3,E-06-L3,-0.5,-7.6,4.15,-0.516,-7.6,4.15,0.016,0.0,0.0,0.016
WH1|G|05|1|SKU20706,SKU20706,G-05-L1,G-05-L1,4.1,-3.15,0.75,4.084,-3.15,0.75,0.016,0.0,0.0,0.016
